사업명	category_one	category_two	category_three	assigned
축산물 이력제 실시	보건	식품의약안전	식품안전?	558000
농가경영컨설팅	농림해양수산	농업농촌	농림진흥?	3000000
후계농업경영인 육성	농림해양수산	농업농촌	농림진흥?	4500000
다문화 가정 자녀교육 지원(주민참여)	사회복지	보육가족및여성	가족기능강화?	10000000
우장근린공원(강서) 조성	지역개발	지역및도시	건설건축?	13000000
서울광장 운영	일반공공행정	일반행정	일반행정지원?	13500000
직장내 성희롱 예방교육	사회복지	보육가족및여성	가족기능강화?	15000000
하수악취(정화조) 저감 추진	환경보호	상하수도및수질	상수도?	18000000
학교체육부 창단 육성	문화체육관광	체육	체육정책?	20000000
건강증진과 비만치료를 위한 칼로리계단 설치(주민참여)	보건	보건의료	지역보건?	20000000
농업인자녀 학자금지원	농림해양수산	농업농촌	농림진흥?	21536000
서울시 도서관 사서교육 및 워크숍	문화체육관광	문화예술	지역문화예술진흥?	24304000
건강한 먹거리가 있는 전통시장 만들기 지원	보건	식품의약안전	식품안전?	24600000
장기기증 및 헌혈 장려사업	보건	보건의료	지역보건?	25000000
성매개감염병 진단법 개선비	보건	보건의료	지역보건?	26400000
생물테러 대비 감시사업	보건	보건의료	지역보건?	27000000
재난피해자 심리안정지원	공공질서및안전	재난방재및민방위	민방위?	28000000
친환경 농자재지원사업	농림해양수산	농업농촌	농림진흥?	28000000
마약류중독자 치료보호	보건	보건의료	지역보건?	30000000
재활용센터 활성화	환경보호	폐기물	폐기물관리일반?	30000000
여성장애인 교육	사회복지	취약계층지원	장애인생활안정지원?	32400000
서민층 가스시설 개선사업	공공질서및안전	재난방재및민방위	민방위?	35591000
구립 도서관 장애인 편의시설 설치(주민참여)	문화체육관광	문화예술	지역문화예술진흥?	36000000
시민인권보호관 운영	일반공공행정	일반행정	일반행정지원?	37520000
청계천시민위원회 운영	지역개발	수자원	하천?	40000000
장애인 평생교육시설 운영 지원	교육	평생직업교육	평생직업교육기반?	40000000
서울-베이징 청소년 문화교류사업	산업중소기업	무역및투자유치	무역?	40000000
독거어르신 영양죽 배달사업(주민참여)	사회복지	노인청소년	노인생활안정?	45000000
노인건강검진	보건	보건의료	지역보건?	47600000
층간소음 전문컨설팅단 운영	지역개발	지역및도시	건설건축?	48000000
공중위생업소 위생서비스 관리	보건	보건의료	지역보건?	48560000
청룡문화제 지원	문화체육관광	문화예술	지역문화예술진흥?	50000000
비정규직 고용개선 지원	사회복지	노동	고용정책?	50000000
벼 병해충 방제지원	농림해양수산	농업농촌	농림진흥?	50000000
천연기념물 관리	문화체육관광	문화재	문화재보존정책?	51800000
시민 안전문화 활성화	공공질서및안전	재난방재및민방위	민방위?	52830000
서울시청 방송운영	일반공공행정	일반행정	일반행정지원?	52920000
서울시 공공앱 운영관리	일반공공행정	일반행정	일반행정지원?	60000000
가로등 통제소 운영	수송및교통	도로	도로관리?	60000000
공중화장실 시설·운영관리 수준향상	보건	보건의료	지역보건?	60040000
진로직업체험 프로그램 운영(주민참여)	사회복지	노인청소년	노인생활안정?	61000000
자동기상관측시스템 운영	환경보호	대기	대기보전?	62000000
서울시 글로벌 인턴십 운영	사회복지	보육가족및여성	가족기능강화?	63650000
전통 우리음식 및 생활문화 교육	농림해양수산	농업농촌	농림진흥?	63709000
가짜식품 판별 검사	보건	보건의료	지역보건?	65000000
반려동물 입양센터 운영	지역개발	지역및도시	건설건축?	66800000
저출산대응 민·관협력 네트워크 구축	사회복지	보육가족및여성	가족기능강화?	69000000
발달장애아 전문치료센터 운영	보건	보건의료	지역보건?	70759000
장애인 체육 우수선수 육성 지원	문화체육관광	체육	체육정책?	80000000
어르신 쉼터 실버카페 조성(주민참여)	사회복지	노인청소년	노인생활안정?	81000000
非OECD국가 학교 지원 육성	산업중소기업	무역및투자유치	무역?	83600000
장애인운전연습장 운영	사회복지	취약계층지원	장애인생활안정지원?	84720000
서울안전통합상황실 운영	공공질서및안전	재난방재및민방위	민방위?	85529000
저출산극복 인식개선	사회복지	보육가족및여성	가족기능강화?	86000000
해외 유명 여행서 서울판 발간지원	문화체육관광	관광	관광정책?	87000000
야생생물 보호 및 관리강화	환경보호	자연	생태계?	87000000
통계정보시스템 유지관리	일반공공행정	일반행정	일반행정지원?	88320000
서울특별시 인권위원회 운영	일반공공행정	일반행정	일반행정지원?	90000000
시립미술관 자료실 운영	문화체육관광	문화예술	지역문화예술진흥?	90545000
여성폭력피해자 주거지원	사회복지	보육가족및여성	가족기능강화?	93457000
인권피해자 치유 지원 사업	보건	보건의료	지역보건?	97000000
장애인재활지원센터 운영	사회복지	취약계층지원	장애인생활안정지원?	98301000
서울역 관광버스 주차장 설치	수송및교통	물류등기타	교통관리?	99000000
아동·청소년 정신보건사업	보건	보건의료	지역보건?	100000000
성매매위기 십대여성 현장상담	사회복지	보육가족및여성	가족기능강화?	100000000
나라꽃 무궁화 보급 및 확대	지역개발	지역및도시	건설건축?	100000000
파견공무원을 위한 주택보조비 지원	일반공공행정	일반행정	일반행정지원?	100800000
유네스코 세계유산 등재 아이템 발굴 및 등재 추진	문화체육관광	문화재	문화재보존정책?	104400000
유물수집	문화체육관광	문화재	문화재보존정책?	107400000
새로운 자전거 문화교육	수송및교통	물류등기타	교통관리?	112880000
토양오염관리	환경보호	상하수도및수질	상수도?	122145000
귀농 종합 지원	농림해양수산	농업농촌	농림진흥?	123740000
서울 세계불꽃축제 지원	문화체육관광	문화예술	지역문화예술진흥?	130000000
한강공원 주차장 운영	환경보호	환경보호일반	도시환경?	130680000
시도가축방역	보건	보건의료	지역보건?	144291000
시민안전의식 강화	공공질서및안전	재난방재및민방위	민방위?	148200000
장애물 없는 대중교통 이용환경 개선	수송및교통	물류등기타	교통관리?	150000000
이주민 인권보호 및 생활지원	사회복지	보육가족및여성	가족기능강화?	150000000
서울시 어르신 생활체육대회 개최지원	문화체육관광	체육	체육정책?	150588000
식중독 예방 및 관리	보건	보건의료	지역보건?	151900000
한강 자전거공원 운영 및 관리	환경보호	환경보호일반	도시환경?	155919000
의회 인터넷 홈페이지 운영	일반공공행정	일반행정	선거관리?	159315000
장애인자녀학비 지원	사회복지	취약계층지원	장애인생활안정지원?	166000000
대일항쟁기 강제동원피해여성 근로자 지원	사회복지	보육가족및여성	가족기능강화?	168000000
아이와 부모가 행복한 장난감 대여소 운영(주민참여)	사회복지	보육가족및여성	가족기능강화?	174000000
다국어 관광안내 표지판 설치	문화체육관광	관광	관광정책?	180000000
산악구조대 운영	공공질서및안전	재난방재및민방위	민방위?	180366000
노숙인시설 기능보강	사회복지	보육가족및여성	가족기능강화?	191600000
서울시민  생활체육대회 개최	문화체육관광	체육	체육정책?	195000000
차량정비센터 시설 유지보수	환경보호	폐기물	폐기물관리일반?	198368000
의료관광 활성화	문화체육관광	관광	관광정책?	200000000
노약자 신체활동 지원사업	보건	보건의료	지역보건?	200000000
가로등 원격제어시스템 구축	수송및교통	도로	도로관리?	200000000
시청사 투어 및 시민이용공간 운영	일반공공행정	일반행정	일반행정지원?	207900000
청각장애인 인공달팽이관 수술지원 사업	사회복지	취약계층지원	장애인생활안정지원?	225000000
대테러장비 보강	공공질서및안전	재난방재및민방위	민방위?	228400000
일본군위안부 피해자 생활안정지원금 지원	사회복지	보육가족및여성	가족기능강화?	230200000
에이즈예방 홍보 및 교육 사업	보건	보건의료	지역보건?	240000000
환경미화원 휴게실 개선사업 지원(주민참여)	환경보호	폐기물	폐기물관리일반?	250000000
소셜미디어를 통한 시민과의 소통 활성화	일반공공행정	일반행정	일반행정지원?	280395000
시립정신병원 기능보강	보건	보건의료	지역보건?	290000000
이재민 재해보상	공공질서및안전	재난방재및민방위	민방위?	300000000
한류관광 활성화	문화체육관광	관광	관광정책?	310000000
세계유수동물원과 교류 및 동물확보	지역개발	지역및도시	건설건축?	314620000
국내외 재난의료지원	보건	보건의료	지역보건?	316212000
소외·낙후지역 도시경관개선	지역개발	지역및도시	건설건축?	318500000
어린이병원 의료 및 행정장비 확충	보건	보건의료	지역보건?	335537000
대부업 관리감독 강화	산업중소기업	산업중소기업일반	지역경제?	337463000
서울시민 비만예방사업	보건	보건의료	지역보건?	350000000
장애인보조기구교부사업	사회복지	취약계층지원	장애인생활안정지원?	358000000
서울도서관 도서확충	문화체육관광	문화예술	지역문화예술진흥?	361000000
해외도시와의 정책교류 활성화	산업중소기업	무역및투자유치	무역?	366615000
소방차량 증차	공공질서및안전	재난방재및민방위	민방위?	370000000
영유아 및 생애전환기 건강검진	보건	보건의료	지역보건?	380193000
직장맘 지원센터 운영	사회복지	보육가족및여성	가족기능강화?	385881000
재활용률 향상	환경보호	폐기물	폐기물관리일반?	388697000
한강교량 및 도로시설물 경관조명 유지보수	수송및교통	도로	도로관리?	400000000
서울특별시장기 생활체육대회 개최	문화체육관광	체육	체육정책?	420000000
서울앱창업센터 운영	일반공공행정	일반행정	일반행정지원?	445120000
서울 건강콜센터 운영	보건	보건의료	지역보건?	452355000
길고양이 중성화(TNR)사업	농림해양수산	농업농촌	농림진흥?	455000000
신개발 원예기술 보급	농림해양수산	농업농촌	농림진흥?	460500000
무형문화재 전수시설 운영지원	문화체육관광	문화재	문화재보존정책?	466800000
야생생물 및 철새 보호구역 지정·관리	환경보호	자연	생태계?	476000000
한강 스토리텔링을 통한 관광 상품화	환경보호	환경보호일반	도시환경?	490300000
보행자 우선도로 조성	수송및교통	물류등기타	교통관리?	500000000
물순환 생태계류 복원	환경보호	자연	생태계?	501000000
외국도시 공무원 초청 연수	산업중소기업	무역및투자유치	무역?	531595000
외국인 관광택시 확대 운영	수송및교통	물류등기타	교통관리?	550000000
서울특별시 제대혈은행 운영	보건	보건의료	지역보건?	559508000
한옥 매입 및 활용사업	지역개발	지역및도시	건설건축?	600000000
지역민방위대 방독면 확충	공공질서및안전	재난방재및민방위	민방위?	601250000
찾아가는 평생학습강좌 운영	교육	평생직업교육	평생직업교육기반?	608000000
서울일자리플러스센터 운영	산업중소기업	산업중소기업일반	지역경제?	614420000
한강공원 기반시설 개선	환경보호	환경보호일반	도시환경?	640000000
성매매피해자 구조지원	사회복지	보육가족및여성	가족기능강화?	660000000
알코올상담센터운영	보건	보건의료	지역보건?	699525000
유기동물보호 지원	농림해양수산	농업농촌	농림진흥?	700000000
"북한산성 보수,보존"	문화체육관광	문화재	문화재보존정책?	700000000
시민대학 운영	교육	고등교육	대학관리일반?	734000000
어린이대공원 동물사 안전시설 보강	지역개발	지역및도시	건설건축?	750000000
서울관광 모바일 서비스 운영	문화체육관광	관광	관광정책?	766998000
중앙버스전용차로 흐름개선	수송및교통	물류등기타	교통관리?	775000000
"SARS, 신종플루 등 신종감염병 대책"	보건	보건의료	지역보건?	780430000
입양 및 보호아동 건전육성 지원	사회복지	노인청소년	노인생활안정?	786393000
청소년 진로정보 제공	사회복지	노동	고용정책?	807130000
저소득층 밀집지역 생활환경 개선	공공질서및안전	재난방재및민방위	민방위?	880000000
범죄예방 디자인 프로젝트	지역개발	지역및도시	건설건축?	888500000
서울특별시 치매센터 운영	보건	보건의료	지역보건?	893479000
서울노동권익센터 운영	사회복지	노동	고용정책?	897143000
독립유공자 의료비 지원	사회복지	취약계층지원	장애인생활안정지원?	900000000
서울관광 대표 지도(안내서) 제작	문화체육관광	관광	관광정책?	902250000
광화문광장 관리 운영	지역개발	지역및도시	건설건축?	982844000
"가정폭력,성폭력 재발 방지"	사회복지	보육가족및여성	가족기능강화?	985386000
지하철역 캐노피 설치	수송및교통	물류등기타	교통관리?	995000000
고위험 임산부 의료비 지원	보건	보건의료	지역보건?	1007500000
119구급상황관리센터 운영	공공질서및안전	재난방재및민방위	민방위?	1010940000
암사역 주변 침수해소	환경보호	상하수도및수질	상수도?	1100000000
장애인·노약자 무료셔틀버스 운영지원	사회복지	취약계층지원	장애인생활안정지원?	1129189000
반포대교 보수공사	수송및교통	도로	도로관리?	1134000000
북한이탈주민 정착지원	일반공공행정	일반행정	일반행정지원?	1137100000
서울시 대학생 학자금 대출이자 지원	교육	유아및초중등교육	유아교육?	1231800000
아리수 인식 개선사업	환경보호	상하수도및수질	상수도?	1232452000
보건소 운영개선	보건	보건의료	지역보건?	1250000000
지하철역 화장실 확충	수송및교통	물류등기타	교통관리?	1300000000
공공 무선인터넷(WiFi)인프라 확충	일반공공행정	일반행정	일반행정지원?	1301531000
대기오염 측정망 설치·운영	환경보호	대기	대기보전?	1307646000
병물 아리수 생산·공급	환경보호	상하수도및수질	상수도?	1352412000
교통정보센터(Seoul TOPIS) 운영	수송및교통	물류등기타	교통관리?	1354760000
학생 및 저소득층 아동치과주치의	보건	보건의료	지역보건?	1405000000
상권분석 빅데이터 플랫폼 구축	일반공공행정	일반행정	일반행정지원?	1471447000
강남역 일대 침수방지	지역개발	수자원	하천?	1500000000
할아버지·할머니 봉사대 활동 지원	사회복지	노인청소년	노인생활안정?	1593433000
여성일자리 창출	사회복지	보육가족및여성	가족기능강화?	1599000000
영동대교 보수공사	수송및교통	도로	도로관리?	1600000000
국가하천 유지보수	지역개발	수자원	하천?	1600000000
시립미술관 유지관리	문화체육관광	문화예술	지역문화예술진흥?	1606568000
음수대 설치사업	환경보호	상하수도및수질	상수도?	1952710000
택시 콜서비스 지원	수송및교통	물류등기타	교통관리?	2000000000
에이즈 및 성매개감염병 예방관리	보건	보건의료	지역보건?	2044622000
학교 우유급식 지원	보건	식품의약안전	식품안전?	2054499000
서울 시립대 교수 연구보조비 지급	교육	고등교육	대학관리일반?	2083955000
장지근린공원(송파) 조성	지역개발	지역및도시	건설건축?	2101000000
음식폐기물 종량제 기반시설 구축 사업	환경보호	폐기물	폐기물관리일반?	2253000000
한강저수로 정비	환경보호	환경보호일반	도시환경?	2316250000
119안전센터 신설 및 재건축 등	공공질서및안전	재난방재및민방위	민방위?	2462323000
동물원 유지관리	지역개발	지역및도시	건설건축?	2513227000
가정폭력 방지 및 피해자 지원	사회복지	보육가족및여성	가족기능강화?	2720305000
대사증후군 관리	보건	보건의료	지역보건?	2742200000
어르신 데이케어센터 설치	사회복지	노인청소년	노인생활안정?	2872000000
야간·휴일 진료기관 지정 운영	보건	보건의료	지역보건?	2893320000
서울특별시 청년일자리 허브 운영	사회복지	노동	고용정책?	2981552000
서울시립대 도서관 운영	교육	고등교육	대학관리일반?	3057764000
산림병해충 방제	환경보호	자연	생태계?	3110540000
소년소녀가정 및 가정위탁아동 지원	사회복지	노인청소년	노인생활안정?	3132600000
저소득층 자산형성 희망플러스 통장	사회복지	취약계층지원	장애인생활안정지원?	3303563000
인터넷중독예방센터 운영	사회복지	노인청소년	노인생활안정?	3373012000
서울둘레길 조성	환경보호	자연	생태계?	3500000000
서울지역 노동단체 지원	사회복지	노동	고용정책?	3506000000
성동소방서 신설	공공질서및안전	재난방재및민방위	민방위?	3700000000
한강공원 이용시설 보수·정비	환경보호	환경보호일반	도시환경?	3780400000
암사역사생태공원 조성	지역개발	지역및도시	건설건축?	4000000000
공무원 주택전세금 지원	일반공공행정	일반행정	일반행정지원?	4008000000
시각장애인학습지원센터 운영	사회복지	취약계층지원	장애인생활안정지원?	4511344000
결핵 관리	보건	보건의료	지역보건?	4589184000
버스정보시스템 운영	수송및교통	물류등기타	교통관리?	4685788000
장애인수화통역센터 운영	사회복지	취약계층지원	장애인생활안정지원?	4702109000
빗물 유입시설 확충	환경보호	상하수도및수질	상수도?	5000000000
공공도서관 운영 지원	교육	유아및초중등교육	유아교육?	5000100000
119종합상황실 전산시스템 운영	공공질서및안전	재난방재및민방위	민방위?	5070435000
국가 암검진	보건	보건의료	지역보건?	5085550000
서울시 장애인체육회육성	문화체육관광	체육	체육정책?	5342750000
관광안내소 운영	문화체육관광	관광	관광정책?	5532713000
서울 과학관 건립	산업중소기업	산업진흥고도화	산업진흥?	5714000000
제설대책추진	수송및교통	도로	도로관리?	7089800000
공공기관 LED조명 보급 사업	환경보호	대기	대기보전?	7091715000
근교산 등산로 정비	환경보호	자연	생태계?	7159000000
국가지정문화재 보수	문화체육관광	문화재	문화재보존정책?	7422000000
경로당 운영비 및 난방비 지원	사회복지	노인청소년	노인생활안정?	7558823000
청계천시설물 유지관리	지역개발	수자원	하천?	7628000000
택시요금 카드수수료 지원	수송및교통	물류등기타	교통관리?	7900000000
중소기업 인턴십	산업중소기업	산업중소기업일반	지역경제?	9677948000
어린이대공원 운영 및 보수	지역개발	지역및도시	건설건축?	11425346000
천연가스자동차 보급	환경보호	대기	대기보전?	11614000000
한부모가족자녀 양육비 등 지원	사회복지	보육가족및여성	가족기능강화?	12200240000
전통시장 시설현대화사업 지원	산업중소기업	산업진흥고도화	산업진흥?	13428301000
정수장시설유지보수	환경보호	상하수도및수질	상수도?	15249378000
소방공무원 보건복지 증진	공공질서및안전	재난방재및민방위	민방위?	15799803000
120다산콜센터 운영	일반공공행정	일반행정	일반행정지원?	17623493000
학교용지 매입비 부담	교육	유아및초중등교육	유아교육?	17784505000
저소득 어르신 급식 제공	사회복지	노인청소년	노인생활안정?	17964946000
세종문화회관 출연금	문화체육관광	문화예술	지역문화예술진흥?	19828107000
학교보안관 운영 지원	교육	유아및초중등교육	유아교육?	20349014000
저상버스 도입	수송및교통	물류등기타	교통관리?	21700000000
노후 송배수관 정비	환경보호	상하수도및수질	상수도?	30000000000
장애인콜택시 운영	수송및교통	물류등기타	교통관리?	33522200000
장애수당	사회복지	취약계층지원	장애인생활안정지원?	34481920000
필수예방접종 무료화사업	보건	보건의료	지역보건?	36949499000
중증장애인연금	사회복지	취약계층지원	장애인생활안정지원?	84305403000
가락동농수산물도매시장 시설현대화	농림해양수산	농업농촌	농림진흥?	90000000000
친환경 무상급식 지원	교육	유아및초중등교육	유아교육?	1.49031E+11
버스운송사업 재정지원	수송및교통	물류등기타	교통관리?	2.19513E+11
기초생활수급자 급여	사회복지	취약계층지원	장애인생활안정지원?	5.89587E+11
기초노령연금 지급	사회복지	노인청소년	노인생활안정?	8.38493E+11
